document_id,text
0,trf indiaforens servic
1,trf indiaforens servic
2,fdrl intern fund transf
3,trf frm indiaforens servic
4,fdrl intern fund transf
5,fdrl intern fund transf
6,fdrl intern fund transf
7,fdrl intern fund transf
8,fdrl intern fund transf
9,fdrl intern fund transf
10,indo gibl indiaforens stl01071
11,indo gibl indiaforens stl02071
12,indo gibl indiaforens stl03071
13,indo gibl indiaforens stl04071
14,indo gibl indiaforens stl05071
15,indo gibl indiaforens stl06071
16,indo gibl indiaforens stl07071
17,indo gibl indiaforens stl10071
18,indo gibl indiaforens stl11071
19,indo gibl indiaforens stl12071
20,indo gibl indiaforens stl13071
21,indo gibl indiaforens stl14071
22,indo gibl indiaforens stl15071
23,indo gibl indiaforens stl16071
24,indo gibl indiaforens stl17071
25,indo gibl indiaforens stl18071
26,indo gibl indiaforens stl19071
27,indo gibl indiaforens stl20071
28,indo gibl indiaforens stl21071
29,indo gibl indiaforens stl22071
30,indo gibl indiaforens stl24071
31,indo gibl indiaforens stl25071
32,indo gibl indiaforens stl26071
33,indo gibl indiaforens stl27071
34,indo gibl indiaforens stl28071
35,indo gibl indiaforens stl30071
36,indo gibl indiaforens stl31071
37,indo gibl indiaforens stl01081
38,indo gibl indiaforens stl02081
39,indo gibl indiaforens stl03081
40,indo gibl indiaforens stl04081
41,indo gibl indiaforens stl05081
42,indo gibl indiaforens stl06081
43,indo gibl indiaforens stl07081
44,indo gibl indiaforens stl08081
45,indo gibl indiaforens stl09081
46,indo gibl indiaforens stl10081
47,indo gibl indiaforens stl11081
48,indo gibl indiaforens stl12081
49,indo gibl indiaforens stl13081
50,indo gibl indiaforens stl14081
51,indo gibl indiaforens stl16081
52,indo gibl indiaforens stl17081
53,indo gibl indiaforens stl18081
54,indo gibl indiaforens stl19081
55,indo gibl indiaforens stl20081
56,indo gibl indiaforens stl21081
57,indo gibl indiaforens stl22081
58,indo gibl indiaforens stl23081
59,indo gibl indiaforens stl24081
60,indo gibl indiaforens stl25081
61,indo gibl indiaforens stl26081
62,indo gibl indiaforens stl28081
63,indo gibl indiaforens stl29081
64,indo gibl indiaforens stl30081
65,indo gibl indiaforens stl31081
66,indo gibl indiaforens stl01091
67,indo gibl indiaforens stl02091
