Model,Score1,Score2,Score3,Score4,Score5,Average
tfidf_stemmed,5,5,5,5,5,5.0
tfidf_lemmatized,5,5,5,5,5,5.0
stemmed_cbow_win2_dim100,5,4,4,4,4,4.2
stemmed_skipgram_win2_dim100,5,5,4,4,4,4.4
stemmed_cbow_win4_dim100,5,4,4,4,4,4.2
stemmed_skipgram_win4_dim100,5,5,4,4,4,4.4
stemmed_cbow_win2_dim300,5,4,4,4,4,4.2
stemmed_skipgram_win2_dim300,5,5,4,4,4,4.4
stemmed_cbow_win4_dim300,5,4,4,4,4,4.2
stemmed_skipgram_win4_dim300,5,5,4,4,4,4.4
lemmatized_cbow_win2_dim100,5,4,4,4,4,4.2
lemmatized_skipgram_win2_dim100,5,5,4,4,4,4.4
lemmatized_cbow_win4_dim100,5,4,4,4,4,4.2
lemmatized_skipgram_win4_dim100,5,5,4,4,4,4.4
lemmatized_cbow_win2_dim300,5,4,4,4,4,4.2
lemmatized_skipgram_win2_dim300,5,5,4,4,4,4.4
lemmatized_cbow_win4_dim300,5,4,4,4,4,4.2
lemmatized_skipgram_win4_dim300,5,5,4,4,4,4.4
