Model,Rank,Index,Similarity,Text
stemmed_cbow_win2_dim100,1,113102,0.9889382719993591,indian oil corpor lt
stemmed_cbow_win2_dim100,2,113103,0.9889382719993591,indian oil corpor lt
stemmed_cbow_win2_dim100,3,113104,0.9889382719993591,indian oil corpor lt
stemmed_cbow_win2_dim100,4,113114,0.9889382719993591,indian oil corpor lt
stemmed_cbow_win2_dim100,5,113115,0.9889382719993591,indian oil corpor lt
stemmed_skipgram_win2_dim100,1,93193,0.9914591908454895,bidderboy corpor
stemmed_skipgram_win2_dim100,2,93526,0.9914591908454895,bidderboy corpor
stemmed_skipgram_win2_dim100,3,93729,0.9914591908454895,bidderboy corpor
stemmed_skipgram_win2_dim100,4,93820,0.9914591908454895,bidderboy corpor
stemmed_skipgram_win2_dim100,5,94209,0.9914591908454895,bidderboy corpor
stemmed_cbow_win4_dim100,1,93193,0.9874072670936584,bidderboy corpor
stemmed_cbow_win4_dim100,2,93526,0.9874072670936584,bidderboy corpor
stemmed_cbow_win4_dim100,3,93729,0.9874072670936584,bidderboy corpor
stemmed_cbow_win4_dim100,4,93820,0.9874072670936584,bidderboy corpor
stemmed_cbow_win4_dim100,5,94209,0.9874072670936584,bidderboy corpor
stemmed_skipgram_win4_dim100,1,93193,0.9906876087188721,bidderboy corpor
stemmed_skipgram_win4_dim100,2,93526,0.9906876087188721,bidderboy corpor
stemmed_skipgram_win4_dim100,3,93729,0.9906876087188721,bidderboy corpor
stemmed_skipgram_win4_dim100,4,93820,0.9906876087188721,bidderboy corpor
stemmed_skipgram_win4_dim100,5,94209,0.9906876087188721,bidderboy corpor
stemmed_cbow_win2_dim300,1,113102,0.9839301109313965,indian oil corpor lt
stemmed_cbow_win2_dim300,2,113103,0.9839301109313965,indian oil corpor lt
stemmed_cbow_win2_dim300,3,113104,0.9839301109313965,indian oil corpor lt
stemmed_cbow_win2_dim300,4,113114,0.9839301109313965,indian oil corpor lt
stemmed_cbow_win2_dim300,5,113115,0.9839301109313965,indian oil corpor lt
stemmed_skipgram_win2_dim300,1,93193,0.9908367991447449,bidderboy corpor
stemmed_skipgram_win2_dim300,2,93526,0.9908367991447449,bidderboy corpor
stemmed_skipgram_win2_dim300,3,93729,0.9908367991447449,bidderboy corpor
stemmed_skipgram_win2_dim300,4,93820,0.9908367991447449,bidderboy corpor
stemmed_skipgram_win2_dim300,5,94209,0.9908367991447449,bidderboy corpor
stemmed_cbow_win4_dim300,1,93193,0.9916386604309082,bidderboy corpor
stemmed_cbow_win4_dim300,2,93526,0.9916386604309082,bidderboy corpor
stemmed_cbow_win4_dim300,3,93729,0.9916386604309082,bidderboy corpor
stemmed_cbow_win4_dim300,4,93820,0.9916386604309082,bidderboy corpor
stemmed_cbow_win4_dim300,5,94209,0.9916386604309082,bidderboy corpor
stemmed_skipgram_win4_dim300,1,93193,0.9919914603233337,bidderboy corpor
stemmed_skipgram_win4_dim300,2,93526,0.9919914603233337,bidderboy corpor
stemmed_skipgram_win4_dim300,3,93729,0.9919914603233337,bidderboy corpor
stemmed_skipgram_win4_dim300,4,93820,0.9919914603233337,bidderboy corpor
stemmed_skipgram_win4_dim300,5,94209,0.9919914603233337,bidderboy corpor
lemmatized_cbow_win2_dim100,1,31383,0.9611743688583374,vaishnavi ac
lemmatized_cbow_win2_dim100,2,29190,0.9590128660202026,vaishanvi ac
lemmatized_cbow_win2_dim100,3,29152,0.9440351128578186,oasis corporate training
lemmatized_cbow_win2_dim100,4,107532,0.8671553134918213,neft 000028094933 irctc c
lemmatized_cbow_win2_dim100,5,110475,0.8671553134918213,neft 000040875666 irctc c
lemmatized_skipgram_win2_dim100,1,31383,0.9839929938316345,vaishnavi ac
lemmatized_skipgram_win2_dim100,2,29190,0.9823830723762512,vaishanvi ac
lemmatized_skipgram_win2_dim100,3,29152,0.9586318135261536,oasis corporate training
lemmatized_skipgram_win2_dim100,4,107532,0.8882676959037781,neft 000028094933 irctc c
lemmatized_skipgram_win2_dim100,5,110475,0.8882676959037781,neft 000040875666 irctc c
lemmatized_cbow_win4_dim100,1,31383,0.986393392086029,vaishnavi ac
lemmatized_cbow_win4_dim100,2,29190,0.9857017993927002,vaishanvi ac
lemmatized_cbow_win4_dim100,3,29152,0.9820149540901184,oasis corporate training
lemmatized_cbow_win4_dim100,4,107532,0.8891055583953857,neft 000028094933 irctc c
lemmatized_cbow_win4_dim100,5,110475,0.8891055583953857,neft 000040875666 irctc c
lemmatized_skipgram_win4_dim100,1,31383,0.987796425819397,vaishnavi ac
lemmatized_skipgram_win4_dim100,2,29190,0.9875537157058716,vaishanvi ac
lemmatized_skipgram_win4_dim100,3,29152,0.9623768329620361,oasis corporate training
lemmatized_skipgram_win4_dim100,4,107532,0.8975410461425781,neft 000028094933 irctc c
lemmatized_skipgram_win4_dim100,5,110475,0.8975410461425781,neft 000040875666 irctc c
lemmatized_cbow_win2_dim300,1,31383,0.9801375865936279,vaishnavi ac
lemmatized_cbow_win2_dim300,2,29190,0.9785875678062439,vaishanvi ac
lemmatized_cbow_win2_dim300,3,29152,0.9643096327781677,oasis corporate training
lemmatized_cbow_win2_dim300,4,107532,0.880147397518158,neft 000028094933 irctc c
lemmatized_cbow_win2_dim300,5,110475,0.880147397518158,neft 000040875666 irctc c
lemmatized_skipgram_win2_dim300,1,31383,0.9792056679725647,vaishnavi ac
lemmatized_skipgram_win2_dim300,2,29190,0.9788115620613098,vaishanvi ac
lemmatized_skipgram_win2_dim300,3,29152,0.9620100259780884,oasis corporate training
lemmatized_skipgram_win2_dim300,4,107532,0.8893460035324097,neft 000028094933 irctc c
